cenario,replicacao,seed,lambda,mu,tempo_simulado_s,warmup_s,n_requisicoes_pos_warmup,L,Lq,W_s,Wq_s
A_baixa_carga,1,0,5.0,10.0,20000.0,2000.0,89602,0.998064,0.498262,0.200496,0.100092
A_baixa_carga,2,1000,5.0,10.0,20000.0,2000.0,89936,1.010916,0.509341,0.202325,0.10194
A_baixa_carga,3,2000,5.0,10.0,20000.0,2000.0,90263,1.011262,0.5099,0.201662,0.101683
A_baixa_carga,4,3000,5.0,10.0,20000.0,2000.0,89867,1.013252,0.514615,0.202946,0.103074
A_baixa_carga,5,4000,5.0,10.0,20000.0,2000.0,90125,0.991723,0.490378,0.198069,0.09794
A_baixa_carga,6,5000,5.0,10.0,20000.0,2000.0,90341,1.00955,0.508034,0.201125,0.10121
A_baixa_carga,7,6000,5.0,10.0,20000.0,2000.0,89935,0.993991,0.494018,0.198928,0.098866
A_baixa_carga,8,7000,5.0,10.0,20000.0,2000.0,89961,1.005705,0.505416,0.201227,0.101127
A_baixa_carga,9,8000,5.0,10.0,20000.0,2000.0,89955,1.003672,0.50446,0.200829,0.10094
A_baixa_carga,10,9000,5.0,10.0,20000.0,2000.0,90101,1.017707,0.513939,0.203307,0.102671
A_baixa_carga,11,10000,5.0,10.0,20000.0,2000.0,89909,1.002591,0.503467,0.200714,0.100792
A_baixa_carga,12,11000,5.0,10.0,20000.0,2000.0,90149,1.010373,0.508503,0.20173,0.101526
A_baixa_carga,13,12000,5.0,10.0,20000.0,2000.0,90151,0.985768,0.487306,0.196812,0.09729
A_baixa_carga,14,13000,5.0,10.0,20000.0,2000.0,90505,1.0096,0.507664,0.200793,0.100966
A_baixa_carga,15,14000,5.0,10.0,20000.0,2000.0,89865,1.003916,0.505104,0.201085,0.101173
A_baixa_carga,16,15000,5.0,10.0,20000.0,2000.0,90138,1.005252,0.503999,0.200742,0.100645
A_baixa_carga,17,16000,5.0,10.0,20000.0,2000.0,90073,0.991655,0.492489,0.198142,0.098397
A_baixa_carga,18,17000,5.0,10.0,20000.0,2000.0,90230,1.006858,0.50702,0.200855,0.101144
A_baixa_carga,19,18000,5.0,10.0,20000.0,2000.0,90290,1.006461,0.505336,0.200641,0.100741
A_baixa_carga,20,19000,5.0,10.0,20000.0,2000.0,89795,0.98065,0.485755,0.196479,0.097291
A_baixa_carga,21,20000,5.0,10.0,20000.0,2000.0,89947,1.018018,0.516639,0.203724,0.103389
A_baixa_carga,22,21000,5.0,10.0,20000.0,2000.0,90289,1.015718,0.511916,0.202492,0.102055
A_baixa_carga,23,22000,5.0,10.0,20000.0,2000.0,90507,1.00023,0.497869,0.198848,0.098944
A_baixa_carga,24,23000,5.0,10.0,20000.0,2000.0,89493,0.98707,0.491059,0.198523,0.098765
A_baixa_carga,25,24000,5.0,10.0,20000.0,2000.0,90020,0.991789,0.491376,0.198312,0.098253
A_baixa_carga,26,25000,5.0,10.0,20000.0,2000.0,89748,1.000578,0.502091,0.200677,0.1007
A_baixa_carga,27,26000,5.0,10.0,20000.0,2000.0,90031,1.012488,0.508628,0.202409,0.101675
A_baixa_carga,28,27000,5.0,10.0,20000.0,2000.0,90126,0.999414,0.498437,0.199588,0.099538
A_baixa_carga,29,28000,5.0,10.0,20000.0,2000.0,89364,0.991432,0.494922,0.199687,0.099681
A_baixa_carga,30,29000,5.0,10.0,20000.0,2000.0,90283,1.010288,0.508788,0.201424,0.101439
B_alta_carga,1,100000,9.0,10.0,20000.0,2000.0,161734,8.458772,7.563076,0.941403,0.841718
B_alta_carga,2,101000,9.0,10.0,20000.0,2000.0,161761,9.537451,8.636489,1.06126,0.96101
B_alta_carga,3,102000,9.0,10.0,20000.0,2000.0,161834,9.133397,8.233912,1.015429,0.915405
B_alta_carga,4,103000,9.0,10.0,20000.0,2000.0,162012,8.360854,7.46378,0.928879,0.829216
B_alta_carga,5,104000,9.0,10.0,20000.0,2000.0,161798,8.802444,7.90398,0.979224,0.879272
B_alta_carga,6,105000,9.0,10.0,20000.0,2000.0,161937,8.909602,8.010558,0.990321,0.890391
